Layer_thickness,Build_orient,Build_temp,Extr_temp,Print_speed,Dim_accuracy,Porosity,Strength
1.00,0.00,0.67,1.00,1.00,7,10,35
1.00,0.00,1.00,0.80,0.67,8,12,31
1.00,0.00,1.00,0.90,1.00,7,10,33
1.00,0.00,1.00,1.00,0.33,6,11,30
1.00,0.50,0.33,0.80,0.33,8,12,29
1.00,0.50,0.33,0.90,0.67,6,10,32
1.00,0.50,0.33,1.00,1.00,7,12,28
1.00,0.50,0.67,0.80,0.67,6,10,30
1.00,0.50,0.67,0.90,1.00,5,9,32
1.00,0.50,0.67,1.00,0.33,6,10,30
1.00,0.50,1.00,0.80,1.00,8,15,28
1.00,0.50,1.00,0.90,0.33,6,12,26
1.00,0.50,1.00,1.00,0.67,8,14,24
1.00,1.00,0.33,0.80,0.67,7,15,23
1.00,1.00,0.33,0.90,1.00,6,13,24
1.00,1.00,0.33,1.00,0.33,6,12,25
1.00,1.00,0.67,0.80,1.00,9,16,21
1.00,1.00,0.67,0.90,0.33,8,14,23
1.00,1.00,0.67,1.00,0.67,7,12,25
1.00,1.00,1.00,0.80,0.33,9.5,18,20
1.00,1.00,1.00,0.90,0.67,8,16,22
1.00,1.00,1.00,1.00,1.00,10,20,20
